id_vaga,id_competencia,exigencia
1,2,Desejável
1,3,Desejável
1,4,Desejável
1,1,Desejável
1,5,Desejável
1,6,Desejável
1,7,Desejável
1,15,Obrigatório
1,16,Obrigatório
2,8,Desejável
2,10,Desejável
2,11,Desejável
2,17,Obrigatório
2,18,Obrigatório
2,19,Obrigatório
3,1,Obrigatório
3,2,Obrigatório
3,5,Obrigatório
3,6,Desejável
3,12,Desejável
3,18,Obrigatório
3,15,Obrigatório
4,6,Obrigatório
4,1,Obrigatório
4,13,Obrigatório
4,8,Obrigatório
4,14,Obrigatório
5,5,Obrigatório
5,9,Obrigatório
5,10,Obrigatório
5,15,Obrigatório
5,20,Obrigatório
5,18,Obrigatório
6,18,Desejável
6,5,Obrigatório
6,2,Desejável
6,6,Desejável
6,1,Obrigatório
